"Rank","WSIS","Kickers","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Justin Tucker","BAL","vs. BUF","1","10","2.1","1.5"
"2","","Stephen Gostkowski","NE","vs. HOU","1","8","2.4","1.1"
"3","","Greg Zuerlein","LAR","at OAK","1","9","3.2","1.3"
"4","","Wil Lutz","NO","vs. TB","1","14","3.8","2.2"
"5","","Matt Prater","DET","vs. NYJ","1","12","4.9","1.5"
"6","","Mason Crosby","GB","vs. CHI","2","22","7.4","3.0"
"7","","Chris Boswell","PIT","at CLE","4","24","8.0","3.0"
"8","","Jake Elliott","PHI","vs. ATL","3","22","8.9","2.8"
"9","","Matt Bryant","ATL","at PHI","3","23","10.3","3.2"
"10","","Caleb Sturgis","LAC","vs. KC","1","27","11.0","4.1"
"11","","Graham Gano","CAR","vs. DAL","7","25","11.5","2.8"
"12","","Adam Vinatieri","IND","vs. CIN","1","24","12.1","3.2"
"13","","Josh Lambo","JAC","at NYG","6","23","13.3","2.4"
"14","","Harrison Butker","KC","at LAC","4","23","13.5","3.3"
"15","","Daniel Carlson","MIN","vs. SF","5","22","13.8","3.8"
"16","","Ryan Succop","TEN","at MIA","7","20","14.5","2.6"
"17","","Brandon McManus","DEN","vs. SEA","2","24","16.6","3.6"
"18","","Phil Dawson","ARI","vs. WAS","5","26","18.5","2.2"
"19","","Robbie Gould","SF","at MIN","3","29","19.1","3.6"
"20","","Randy Bullock","CIN","at IND","9","30","19.9","3.5"
"21","","Ka'imi Fairbairn","HOU","at NE","3","28","20.4","3.2"
"22","","Steven Hauschka","BUF","at BAL","16","32","23.4","4.8"
"23","","Dustin Hopkins","WAS","at ARI","8","29","22.1","3.0"
"24","","Brett Maher","DAL","at CAR","12","30","23.4","3.6"
"25","","Cody Parkey","CHI","at GB","13","32","25.5","3.8"
"26","","Sebastian Janikowski","SEA","at DEN","16","31","24.9","2.9"
"27","","Aldrick Rosas","NYG","vs. JAC","15","32","27.2","3.4"
"28","","Kai Forbath","FA","","17","29","24.8","3.3"
"29","","Chandler Catanzaro","TB","at NO","12","32","26.0","3.4"
"30","","Zane Gonzalez","CLE","vs. PIT","15","33","27.0","3.5"
"31","","Mike Nugent","OAK","vs. LAR","19","32","27.2","3.4"
"32","","Jason Sanders","MIA","vs. TEN","20","31","26.3","3.2"
"33","","Eddy Pineiro","OAK ","vs. LAR","23","33","27.0","2.8"
"34","","Jason Myers","NYJ","at DET","22","34","30.4","2.1"
""
""